Customer ID,Recency,Frequency,Monetary Value,R,F,M,RFM_Segment,RFM_Score,Custom_Segment
12346.0,325,2,0.0,1,2,1,121,4.0,3_Low
12347.0,1,6,3598.210000000002,4,4,4,444,12.0,1_Top
12348.0,74,3,784.4399999999999,2,2,3,223,7.0,2_Middle
12349.0,18,1,1457.55,3,1,3,313,7.0,2_Middle
12350.0,309,1,294.40000000000003,1,1,2,112,4.0,3_Low
12352.0,35,11,1265.41,3,4,3,343,10.0,1_Top
12353.0,203,1,89.0,1,1,1,111,3.0,3_Low
12354.0,231,1,1079.4,1,1,3,113,5.0,3_Low
12355.0,213,1,459.4,1,1,2,112,4.0,3_Low
12356.0,22,3,2487.430000000001,3,2,4,324,9.0,2_Middle
12357.0,32,1,6207.669999999996,3,1,4,314,8.0,2_Middle
12358.0,1,2,928.06,4,2,3,423,9.0,2_Middle
12359.0,7,6,6182.980000000006,4,4,4,444,12.0,1_Top
12360.0,51,3,2302.0600000000004,2,2,4,224,8.0,2_Middle
12361.0,286,1,174.89999999999998,1,1,1,111,3.0,3_Low
12362.0,2,13,4665.580000000002,4,4,4,444,12.0,1_Top
12363.0,109,2,552.0,2,2,2,222,6.0,2_Middle
12364.0,7,4,1208.1000000000001,4,3,3,433,10.0,1_Top
12365.0,290,3,320.69,1,2,2,122,5.0,3_Low
12367.0,3,1,150.9,4,1,1,411,6.0,2_Middle
12370.0,50,2,1677.6700000000003,2,2,4,224,8.0,2_Middle
12371.0,59,1,1527.9600000000003,2,1,3,213,6.0,2_Middle
12372.0,71,3,1196.04,2,2,3,223,7.0,2_Middle
12373.0,310,1,324.6,1,1,2,112,4.0,3_Low
12374.0,24,1,622.93,3,1,2,312,6.0,2_Middle
12375.0,2,3,375.42000000000013,4,2,2,422,8.0,2_Middle
12377.0,314,1,546.6,1,1,2,112,4.0,3_Low
12378.0,129,1,4008.6200000000013,1,1,4,114,6.0,2_Middle
12379.0,81,3,775.2899999999996,2,2,3,223,7.0,2_Middle
12380.0,21,5,2423.56,3,3,4,334,10.0,1_Top
12381.0,4,4,1433.4600000000005,4,3,3,433,10.0,1_Top
12383.0,184,5,1061.59,1,3,3,133,7.0,2_Middle
12384.0,28,3,406.16,3,2,2,322,7.0,2_Middle
12386.0,337,1,143.0,1,1,1,111,3.0,3_Low
12388.0,15,6,2780.6600000000003,4,4,4,444,12.0,1_Top
12390.0,79,1,504.84,2,1,2,212,5.0,3_Low
12391.0,21,1,439.65999999999997,3,1,2,312,6.0,2_Middle
12393.0,71,4,1582.6000000000004,2,3,4,234,9.0,2_Middle
12394.0,63,2,1080.48,2,2,3,223,7.0,2_Middle
12395.0,15,13,2072.359999999999,4,4,4,444,12.0,1_Top
12397.0,35,2,2214.9,3,2,4,324,9.0,2_Middle
12398.0,45,1,1435.6599999999999,3,1,3,313,7.0,2_Middle
12399.0,118,4,1033.65,2,3,3,233,8.0,2_Middle
12401.0,302,1,69.3,1,1,1,111,3.0,3_Low
12402.0,322,1,195.6,1,1,1,111,3.0,3_Low
12403.0,49,1,391.7,2,1,2,212,5.0,3_Low
12405.0,148,1,1390.3900000000006,1,1,3,113,5.0,3_Low
12406.0,21,3,3280.7500000000014,3,3,4,334,10.0,1_Top
12407.0,49,5,1507.12,2,3,3,233,8.0,2_Middle
